open,close,min,max,volume,timestamp
9218.21000000,9232.43000000,9206.62000000,9253.90000000,4332.51373700,1594324800000
9232.42000000,9222.70000000,9193.11000000,9237.55000000,4705.69793700,1594339200000
9222.62000000,9154.99000000,9125.00000000,9227.46000000,9510.60173100,1594353600000
9154.99000000,9161.49000000,9153.38000000,9205.26000000,7000.69585000,1594368000000
9161.49000000,9245.92000000,9160.59000000,9249.00000000,6781.32762700,1594382400000
9245.91000000,9235.57000000,9206.00000000,9252.41000000,5162.76935100,1594396800000
9235.58000000,9288.34000000,9210.00000000,9317.48000000,5134.40151000,1594411200000
9288.34000000,9268.20000000,9257.54000000,9299.28000000,4083.33434900,1594425600000
9268.19000000,9268.80000000,9253.13000000,9279.56000000,3431.10898800,1594440000000
9268.22000000,9200.37000000,9178.25000000,9269.98000000,5590.86103400,1594454400000
9200.37000000,9226.65000000,9195.00000000,9235.63000000,3468.27822800,1594468800000
9226.65000000,9205.11000000,9201.94000000,9253.79000000,3361.92747300,1594483200000
9205.10000000,9234.03000000,9201.55000000,9253.00000000,2625.85592800,1594497600000
9234.02000000,9272.47000000,9230.61000000,9294.00000000,4474.03278200,1594512000000
9272.47000000,9255.92000000,9242.90000000,9286.69000000,3050.26770700,1594526400000
9255.95000000,9245.28000000,9241.51000000,9273.20000000,3551.75618300,1594540800000
9245.28000000,9215.69000000,9182.00000000,9345.00000000,9737.94854400,1594555200000
9215.75000000,9220.28000000,9157.50000000,9235.00000000,4106.81139300,1594569600000
9220.28000000,9302.75000000,9212.83000000,9327.00000000,5951.88567700,1594584000000
9303.31000000,9271.99000000,9265.53000000,9321.34000000,5443.12467400,1594598400000
9271.99000000,9270.01000000,9244.55000000,9291.00000000,5780.31708800,1594612800000
9270.01000000,9309.04000000,9264.17000000,9318.00000000,7864.36564900,1594627200000
9309.03000000,9290.38000000,9278.00000000,9343.82000000,8614.98005000,1594641600000
9290.38000000,9235.07000000,9200.89000000,9323.00000000,9815.37842900,1594656000000
9234.56000000,9242.62000000,9217.76000000,9271.85000000,5221.90322500,1594670400000
9242.61000000,9217.11000000,9211.25000000,9246.72000000,5195.20497700,1594684800000
9217.16000000,9181.01000000,9151.00000000,9218.59000000,7571.38240400,1594699200000
9181.20000000,9232.95000000,9113.00000000,9238.59000000,11344.15798200,1594713600000
9232.81000000,9219.21000000,9182.02000000,9242.00000000,8844.89340600,1594728000000
9219.27000000,9268.92000000,9209.37000000,9275.00000000,8724.64372000,1594742400000
9268.89000000,9255.85000000,9235.79000000,9279.54000000,4092.27002000,1594756800000
9255.85000000,9234.85000000,9227.71000000,9276.49000000,3767.29567100,1594771200000
